timestamp,latitude,longitude,noise_db,is_anomaly
11/1/2021 12:00,49.17880133,9.187776586,40,0
11/2/2021 12:00,49.17880133,9.187776586,40.05,0
11/3/2021 12:00,49.17880133,9.187776586,40.89,0
11/4/2021 12:00,49.17880133,9.187776586,53.55,0
11/5/2021 12:00,49.17880133,9.187776586,44.29,0
11/6/2021 12:00,49.17880133,9.187776586,42.73,0
11/7/2021 12:00,49.17880133,9.187776586,40,0
11/8/2021 12:00,49.17880133,9.187776586,40,0
11/9/2021 12:00,49.17880133,9.187776586,40,0
11/10/2021 12:00,49.17880133,9.187776586,51.23,0
11/11/2021 12:00,49.17880133,9.187776586,49.17,0
11/12/2021 12:00,49.17880133,9.187776586,44.45,0
11/13/2021 12:00,49.17880133,9.187776586,,1
11/14/2021 12:00,49.17880133,9.187776586,53.87,0
11/15/2021 12:00,49.17880133,9.187776586,58.9,0
11/16/2021 12:00,49.17880133,9.187776586,45.9,0
11/17/2021 12:00,49.17880133,9.187776586,55.41,0
11/18/2021 12:00,49.17880133,9.187776586,57.98,0
11/19/2021 12:00,49.17880133,9.187776586,40,0
11/20/2021 12:00,49.17880133,9.187776586,40,0
11/21/2021 12:00,49.17880133,9.187776586,42.44,0
11/22/2021 12:00,49.17880133,9.187776586,41.96,0
11/23/2021 12:00,49.17880133,9.187776586,55.99,0
11/24/2021 12:00,49.17880133,9.187776586,41.78,0
11/25/2021 12:00,49.17880133,9.187776586,40,0
11/26/2021 12:00,49.17880133,9.187776586,42.81,0
11/27/2021 12:00,49.17880133,9.187776586,53.19,0
11/28/2021 12:00,49.17880133,9.187776586,41.88,0
11/29/2021 12:00,49.17880133,9.187776586,40,0
11/30/2021 12:00,49.17880133,9.187776586,51.08,0
12/1/2021 12:00,49.17880133,9.187776586,44.22,0
12/2/2021 12:00,49.17880133,9.187776586,51.85,0
12/3/2021 12:00,49.17880133,9.187776586,52.75,0
12/4/2021 12:00,49.17880133,9.187776586,57.23,0
12/5/2021 12:00,49.17880133,9.187776586,57.86,0
