timestamp,latitude,longitude,temperature_degC,humidity_percent,wind_speed_ms,rain_mm,solar_radiation_wm2
11/1/2021 12:00,49.17380202,9.212031716,2.66,63.85,0,0,391.39
11/2/2021 12:00,49.17380202,9.212031716,0.09,63.78,0,0,411.03
11/3/2021 12:00,49.17380202,9.212031716,2.24,64.12,0,0,399.12
11/4/2021 12:00,49.17380202,9.212031716,8.86,69.09,2.83,0,335.35
11/5/2021 12:00,49.17380202,9.212031716,1.09,58.43,2.25,0,451.51
11/6/2021 12:00,49.17380202,9.212031716,5.49,61.45,0.56,0,408.93
11/7/2021 12:00,49.17380202,9.212031716,3.59,65.23,0,0,376.43
11/8/2021 12:00,49.17380202,9.212031716,4.6,68.26,0.94,0,400
11/9/2021 12:00,49.17380202,9.212031716,0.74,55.34,0.94,1.92,370.77
11/10/2021 12:00,49.17380202,9.212031716,2.4,63.74,1.27,0,404.26
11/11/2021 12:00,49.17380202,9.212031716,3.85,65.69,1.03,0,409.02
11/12/2021 12:00,49.17380202,9.212031716,-1.99,66.03,2.17,0,483.68
11/13/2021 12:00,49.17380202,9.212031716,3.06,65.68,2.52,0,433.44
11/14/2021 12:00,49.17380202,9.212031716,7.34,63.6,2.22,0,447.87
11/15/2021 12:00,49.17380202,9.212031716,2.38,62.42,3.76,0,473.37
11/16/2021 12:00,49.17380202,9.212031716,6.71,75.57,1.47,0,504.05
11/17/2021 12:00,49.17380202,9.212031716,5.13,65.67,3.32,0,503
11/18/2021 12:00,49.17380202,9.212031716,1.47,63.62,0.87,1,466.06
11/19/2021 12:00,49.17380202,9.212031716,9.17,65.69,1.93,0,432.59
11/20/2021 12:00,49.17380202,9.212031716,2.99,52.98,0.23,0,454.04
11/21/2021 12:00,49.17380202,9.212031716,2.01,71.87,1.41,0.01,443.8
11/22/2021 12:00,49.17380202,9.212031716,5.14,67.88,1.78,0.71,491.29
11/23/2021 12:00,49.17380202,9.212031716,2.46,63.79,3.55,0,435.47
11/24/2021 12:00,49.17380202,9.212031716,9.02,61.4,0,0,468.99
11/25/2021 12:00,49.17380202,9.212031716,4.82,61.66,1.16,0,521.19
11/26/2021 12:00,49.17380202,9.212031716,6.26,64.14,4.02,0,552.39
11/27/2021 12:00,49.17380202,9.212031716,4.92,58.52,0.29,0,388.81
11/28/2021 12:00,49.17380202,9.212031716,4.64,78.68,0.48,0,487.3
11/29/2021 12:00,49.17380202,9.212031716,5.85,57.1,1.97,0,509.8
11/30/2021 12:00,49.17380202,9.212031716,6.5,62.42,1.41,0,414.87
12/1/2021 12:00,49.17380202,9.212031716,7.61,67.93,0,0,490.95
12/2/2021 12:00,49.17380202,9.212031716,6.21,65.46,0,0,524.3
12/3/2021 12:00,49.17380202,9.212031716,6.57,67.39,1.25,0,583.29
12/4/2021 12:00,49.17380202,9.212031716,4.23,59.65,0,0,459.61
12/5/2021 12:00,49.17380202,9.212031716,5.2,66.45,1.58,0,546.9
12/6/2021 12:00,49.17380202,9.212031716,4.81,65.67,1.91,0,521.94
12/7/2021 12:00,49.17380202,9.212031716,6.92,58.33,0.98,0,520.25
12/8/2021 12:00,49.17380202,9.212031716,9.44,63.6,2,1.67,424.79
12/9/2021 12:00,49.17380202,9.212031716,8.97,65.45,0.14,0,548.74
12/10/2021 12:00,49.17380202,9.212031716,6.52,69.72,2.72,0,535.44
12/11/2021 12:00,49.17380202,9.212031716,7.01,69.09,5.18,0,532.13
12/12/2021 12:00,49.17380202,9.212031716,10.3,63.75,1.09,0,555.27
12/13/2021 12:00,49.17380202,9.212031716,3.44,66.83,1.66,0,571.84
12/14/2021 12:00,49.17380202,9.212031716,10.01,73.03,2.59,0,600.3
12/15/2021 12:00,49.17380202,9.212031716,3.15,66.24,3.09,0,551.49
12/16/2021 12:00,49.17380202,9.212031716,10.48,64.75,0,0,568.93
12/17/2021 12:00,49.17380202,9.212031716,9.07,73.08,2.91,0,544.79
12/18/2021 12:00,49.17380202,9.212031716,10.46,81.38,1.71,0,596.21
12/19/2021 12:00,49.17380202,9.212031716,8.29,74.77,3.28,0,560.8
12/20/2021 12:00,49.17380202,9.212031716,9.1,68.72,1.26,0,558.54
12/21/2021 12:00,49.17380202,9.212031716,9.02,73.6,0.67,0,573.84
12/22/2021 12:00,49.17380202,9.212031716,9.62,74.32,0.8,0,620.3
12/23/2021 12:00,49.17380202,9.212031716,9.02,73.54,2.16,0,580.39
12/24/2021 12:00,49.17380202,9.212031716,8.74,66.69,3.53,0,587.79
12/25/2021 12:00,49.17380202,9.212031716,10.47,61.83,1.86,0,647.25
12/26/2021 12:00,49.17380202,9.212031716,9.38,69.29,0.84,0,594.31
12/27/2021 12:00,49.17380202,9.212031716,8.52,65.2,0.13,0,609.88
12/28/2021 12:00,49.17380202,9.212031716,13.31,69.25,4.21,0,616.79
12/29/2021 12:00,49.17380202,9.212031716,7.2,71.51,0,0,646.29
12/30/2021 12:00,49.17380202,9.212031716,11.84,58.93,1.78,0,611.54
12/31/2021 12:00,49.17380202,9.212031716,9.63,73.94,3.7,5.03,644.91
1/1/2022 12:00,49.17380202,9.212031716,11.04,69.56,1.51,0,593.1
1/2/2022 12:00,49.17380202,9.212031716,13.91,86.42,2.1,,589.71
1/3/2022 12:00,49.17380202,9.212031716,10.15,74.68,2.77,0,654.11
